time	nose_x	nose_y	r_shoulder_x	r_shoulder_y	l_shoulder_x	l_shooulder_t	cursor_x	cursor_y	block	repetition	target	trial	state	comeback	is_blind	at_home	count_mouse	score
18366.897215999663	0.5404726266860962	0.5402356386184692	0.3363569974899292	0.8705613017082214	0.801896870136261	0.8764885663986206	1220.6396680788207	505.42213474915434	1	1	0	1	0	1	0	1	0	0
18399.97451500222	0.5404726266860962	0.5402356386184692	0.3363569974899292	0.8705613017082214	0.801896870136261	0.8764885663986206	1225.2892680685636	499.403886923801	1	1	0	1	0	1	0	1	0	0
18433.13216299936	0.5404726266860962	0.5402356386184692	0.3363569974899292	0.8705613017082214	0.801896870136261	0.8764885663986206	1219.7439515622937	503.6813950363348	1	1	0	1	0	1	0	1	0	0
18466.20919200033	0.5404726266860962	0.5402356386184692	0.3363569974899292	0.8705613017082214	0.801896870136261	0.8764885663986206	1212.670181194446	513.8455805690573	1	1	0	1	0	1	0	1	0	0
18499.348342001438	0.5404726266860962	0.5402356386184692	0.3363569974899292	0.8705613017082214	0.801896870136261	0.8764885663986206	1205.756718683604	526.5486143463904	1	1	0	1	0	1	0	1	0	0
18532.54105000198	0.5421130657196045	0.5398081541061401	0.33715012669563293	0.8695231080055237	0.7986422777175903	0.873556911945343	1200.3505270712603	539.0493811330252	1	1	0	1	0	1	0	1	0	0
18565.796089999378	0.5421130657196045	0.5398081541061401	0.33715012669563293	0.8695231080055237	0.7986422777175903	0.873556911945343	1196.9508940798573	549.8903966667126	1	1	0	1	0	1	0	1	0	0
18598.862786002457	0.5421130657196045	0.5398081541061401	0.33715012669563293	0.8695231080055237	0.7986422777175903	0.873556911945343	1195.287809256171	562.5110910093149	1	1	0	1	0	1	0	1	0	0
18632.022314999253	0.5421130657196045	0.5398081541061401	0.33715012669563293	0.8695231080055237	0.7986422777175903	0.873556911945343	1195.771056487994	568.3197717311916	1	1	0	1	0	1	0	1	0	0
18665.23512800038	0.5431862473487854	0.5490440130233765	0.3264421224594116	0.878200888633728	0.8061412572860718	0.8839595913887024	1197.524975817656	572.269448606841	1	1	0	1	0	1	0	1	0	0
18698.315630000085	0.5431862473487854	0.5490440130233765	0.3264421224594116	0.878200888633728	0.8061412572860718	0.8839595913887024	1198.7601389134188	566.8682304459446	1	1	0	1	0	1	0	1	0	0
18731.41036600247	0.5431862473487854	0.5490440130233765	0.3264421224594116	0.878200888633728	0.8061412572860718	0.8839595913887024	1199.7494980809436	552.7043296432058	1	1	0	1	0	1	0	1	0	0
18764.497516002506	0.5431862473487854	0.5490440130233765	0.3264421224594116	0.878200888633728	0.8061412572860718	0.8839595913887024	1200.592503294662	521.6914085975195	1	1	0	1	0	1	0	1	0	0
18797.56025700271	0.5281904935836792	0.5512380599975586	0.32470381259918213	0.8766980767250061	0.7993212938308716	0.8747065663337708	1200.654469022334	491.07746126471505	1	1	0	1	0	1	0	1	0	0
18830.795067001134	0.5281904935836792	0.5512380599975586	0.32470381259918213	0.8766980767250061	0.7993212938308716	0.8747065663337708	1198.3681526881896	475.27794416544236	1	1	0	1	0	1	0	1	0	0
18863.946293000132	0.5281904935836792	0.5512380599975586	0.32470381259918213	0.8766980767250061	0.7993212938308716	0.8747065663337708	1198.3681526881896	475.27794416544236	1	1	0	1	0	1	0	1	0	0
